cell_id,mean_slope_pct
1,19.39567641841366
2,18.074394016864353
3,56.67448986643764
4,29.31293308682832
5,10.971850755018826
6,4.592450291644421
7,17.567765031908014
8,39.91163216868861
9,21.380363842201632
10,6.5284769643928025
11,5.932970146124422
12,10.150670738465683
13,19.33979882182614
14,20.588975898235716
15,7.655163577377978
16,7.665899697472584
17,8.55736555317183
18,11.14682512545771
19,5.203820236871245
20,24.25749824083835
21,64.59271500632634
22,149.16293766497054
23,20.310589198189096
24,296.1020180327579
